
Summary,R1
Emissions

Cost,5.69908e+06

TID Demand

,R1

,WATER
2020,0
2021,0
2022,0
2023,0
2024,0
2025,0
2026,0
2027,0
2028,0
2029,0
2030,0
2031,0
2032,0
2033,0
2034,0
2035,0
2036,0
2037,0
2038,0
2039,0
2040,0
2041,0
2042,0
2043,0
2044,0
2045,0
2046,0
2047,0
2048,0
2049,0
2050,0
2051,0
2052,0
2053,0
2054,0
2055,0
2056,0
2057,0
2058,0
2059,0
2060,0
2061,0
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2068,0
2069,0
2070,0

,ELC_01
2020,0
2021,0
2022,0
2023,0
2024,0
2025,0
2026,0
2027,0
2028,0
2029,0
2030,0
2031,0
2032,0
2033,0
2034,0
2035,0
2036,0
2037,0
2038,0
2039,0
2040,0
2041,0
2042,0
2043,0
2044,0
2045,0
2046,0
2047,0
2048,0
2049,0
2050,0
2051,0
2052,0
2053,0
2054,0
2055,0
2056,0
2057,0
2058,0
2059,0
2060,0
2061,0
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2068,0
2069,0
2070,0

,ELC_02
2020,0
2021,0
2022,0
2023,0
2024,0
2025,0
2026,0
2027,0
2028,0
2029,0
2030,0
2031,0
2032,0
2033,0
2034,0
2035,0
2036,0
2037,0
2038,0
2039,0
2040,0
2041,0
2042,0
2043,0
2044,0
2045,0
2046,0
2047,0
2048,0
2049,0
2050,0
2051,0
2052,0
2053,0
2054,0
2055,0
2056,0
2057,0
2058,0
2059,0
2060,0
2061,0
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2068,0
2069,0
2070,0

Time Dependent Demand (Energy Units)

,R1
,WATER
,S1D1,S1D2,S2D1,S2D2,S3D1,S3D2,S4D1,S4D2
2020,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0
2022,0,0,0,0,0,0,0,0
2023,0,0,0,0,0,0,0,0
2024,0,0,0,0,0,0,0,0
2025,0,0,0,0,0,0,0,0
2026,0,0,0,0,0,0,0,0
2027,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0,0,0
2029,0,0,0,0,0,0,0,0
2030,0,0,0,0,0,0,0,0
2031,0,0,0,0,0,0,0,0
2032,0,0,0,0,0,0,0,0
2033,0,0,0,0,0,0,0,0
2034,0,0,0,0,0,0,0,0
2035,0,0,0,0,0,0,0,0
2036,0,0,0,0,0,0,0,0
2037,0,0,0,0,0,0,0,0
2038,0,0,0,0,0,0,0,0
2039,0,0,0,0,0,0,0,0
2040,0,0,0,0,0,0,0,0
2041,0,0,0,0,0,0,0,0
2042,0,0,0,0,0,0,0,0
2043,0,0,0,0,0,0,0,0
2044,0,0,0,0,0,0,0,0
2045,0,0,0,0,0,0,0,0
2046,0,0,0,0,0,0,0,0
2047,0,0,0,0,0,0,0,0
2048,0,0,0,0,0,0,0,0
2049,0,0,0,0,0,0,0,0
2050,0,0,0,0,0,0,0,0
2051,0,0,0,0,0,0,0,0
2052,0,0,0,0,0,0,0,0
2053,0,0,0,0,0,0,0,0
2054,0,0,0,0,0,0,0,0
2055,0,0,0,0,0,0,0,0
2056,0,0,0,0,0,0,0,0
2057,0,0,0,0,0,0,0,0
2058,0,0,0,0,0,0,0,0
2059,0,0,0,0,0,0,0,0
2060,0,0,0,0,0,0,0,0
2061,0,0,0,0,0,0,0,0
2062,0,0,0,0,0,0,0,0
2063,0,0,0,0,0,0,0,0
2064,0,0,0,0,0,0,0,0
2065,0,0,0,0,0,0,0,0
2066,0,0,0,0,0,0,0,0
2067,0,0,0,0,0,0,0,0
2068,0,0,0,0,0,0,0,0
2069,0,0,0,0,0,0,0,0
2070,0,0,0,0,0,0,0,0
,ELC_01
,S1D1,S1D2,S2D1,S2D2,S3D1,S3D2,S4D1,S4D2
2020,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0
2022,0,0,0,0,0,0,0,0
2023,0,0,0,0,0,0,0,0
2024,0,0,0,0,0,0,0,0
2025,0,0,0,0,0,0,0,0
2026,0,0,0,0,0,0,0,0
2027,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0,0,0
2029,0,0,0,0,0,0,0,0
2030,0,0,0,0,0,0,0,0
2031,0,0,0,0,0,0,0,0
2032,0,0,0,0,0,0,0,0
2033,0,0,0,0,0,0,0,0
2034,0,0,0,0,0,0,0,0
2035,0,0,0,0,0,0,0,0
2036,0,0,0,0,0,0,0,0
2037,0,0,0,0,0,0,0,0
2038,0,0,0,0,0,0,0,0
2039,0,0,0,0,0,0,0,0
2040,0,0,0,0,0,0,0,0
2041,0,0,0,0,0,0,0,0
2042,0,0,0,0,0,0,0,0
2043,0,0,0,0,0,0,0,0
2044,0,0,0,0,0,0,0,0
2045,0,0,0,0,0,0,0,0
2046,0,0,0,0,0,0,0,0
2047,0,0,0,0,0,0,0,0
2048,0,0,0,0,0,0,0,0
2049,0,0,0,0,0,0,0,0
2050,0,0,0,0,0,0,0,0
2051,0,0,0,0,0,0,0,0
2052,0,0,0,0,0,0,0,0
2053,0,0,0,0,0,0,0,0
2054,0,0,0,0,0,0,0,0
2055,0,0,0,0,0,0,0,0
2056,0,0,0,0,0,0,0,0
2057,0,0,0,0,0,0,0,0
2058,0,0,0,0,0,0,0,0
2059,0,0,0,0,0,0,0,0
2060,0,0,0,0,0,0,0,0
2061,0,0,0,0,0,0,0,0
2062,0,0,0,0,0,0,0,0
2063,0,0,0,0,0,0,0,0
2064,0,0,0,0,0,0,0,0
2065,0,0,0,0,0,0,0,0
2066,0,0,0,0,0,0,0,0
2067,0,0,0,0,0,0,0,0
2068,0,0,0,0,0,0,0,0
2069,0,0,0,0,0,0,0,0
2070,0,0,0,0,0,0,0,0
,ELC_02
,S1D1,S1D2,S2D1,S2D2,S3D1,S3D2,S4D1,S4D2
2020,2162.62,2094.67,2184.91,2135.08,2548.94,2437.86,2313.92,2241.99
2021,2208.24,2138.85,2231,2180.11,2602.7,2489.29,2362.73,2289.28
