REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"R1","S1D1","TRANSMISSION","ELC_01",2020,2162.622
"R1","S1D1","TRANSMISSION","ELC_01",2021,2208.23757
"R1","S1D1","TRANSMISSION","ELC_01",2022,2253.841205
"R1","S1D1","TRANSMISSION","ELC_01",2023,2299.456775
"R1","S1D1","TRANSMISSION","ELC_01",2024,2345.06041
"R1","S1D1","TRANSMISSION","ELC_01",2025,2390.67598
"R1","S1D1","TRANSMISSION","ELC_01",2026,2436.29155
"R1","S1D1","TRANSMISSION","ELC_01",2027,2481.895185
"R1","S1D1","TRANSMISSION","ELC_01",2028,2527.510755
"R1","S1D1","TRANSMISSION","ELC_01",2029,2573.11439
"R1","S1D1","TRANSMISSION","ELC_01",2030,2618.72996
"R1","S1D1","TRANSMISSION","ELC_01",2031,2664.34553
"R1","S1D1","TRANSMISSION","ELC_01",2032,2709.949165
"R1","S1D1","TRANSMISSION","ELC_01",2033,2755.564735
"R1","S1D1","TRANSMISSION","ELC_01",2034,2801.16837
"R1","S1D1","TRANSMISSION","ELC_01",2035,2846.78394
"R1","S1D1","TRANSMISSION","ELC_01",2036,2892.39951
"R1","S1D1","TRANSMISSION","ELC_01",2037,2938.003145
"R1","S1D1","TRANSMISSION","ELC_01",2038,2983.618715
"R1","S1D1","TRANSMISSION","ELC_01",2039,3029.22235
"R1","S1D1","TRANSMISSION","ELC_01",2040,3074.83792
"R1","S1D1","TRANSMISSION","ELC_01",2041,3120.45349
"R1","S1D1","TRANSMISSION","ELC_01",2042,3166.057125
"R1","S1D1","TRANSMISSION","ELC_01",2043,3211.672695
"R1","S1D1","TRANSMISSION","ELC_01",2044,3257.27633
"R1","S1D1","TRANSMISSION","ELC_01",2045,3302.8919
"R1","S1D1","TRANSMISSION","ELC_01",2046,3348.50747
"R1","S1D1","TRANSMISSION","ELC_01",2047,3394.111105
"R1","S1D1","TRANSMISSION","ELC_01",2048,3439.726675
"R1","S1D1","TRANSMISSION","ELC_01",2049,3485.33031
"R1","S1D1","TRANSMISSION","ELC_01",2050,3530.94588
"R1","S1D1","TRANSMISSION","ELC_01",2051,3576.56145
"R1","S1D1","TRANSMISSION","ELC_01",2052,3622.165085
"R1","S1D1","TRANSMISSION","ELC_01",2053,3667.780655
"R1","S1D1","TRANSMISSION","ELC_01",2054,3713.38429
"R1","S1D1","TRANSMISSION","ELC_01",2055,3758.99986
"R1","S1D1","TRANSMISSION","ELC_01",2056,3804.61543
"R1","S1D1","TRANSMISSION","ELC_01",2057,3850.219065
"R1","S1D1","TRANSMISSION","ELC_01",2058,3895.834635
"R1","S1D1","TRANSMISSION","ELC_01",2059,3941.43827
"R1","S1D1","TRANSMISSION","ELC_01",2060,3987.05384
"R1","S1D1","TRANSMISSION","ELC_01",2061,4032.66941
"R1","S1D1","TRANSMISSION","ELC_01",2062,4078.273045
"R1","S1D1","TRANSMISSION","ELC_01",2063,4123.888615
"R1","S1D1","TRANSMISSION","ELC_01",2064,4169.49225
"R1","S1D1","TRANSMISSION","ELC_01",2065,4215.10782
"R1","S1D1","TRANSMISSION","ELC_01",2066,4260.72339
"R1","S1D1","TRANSMISSION","ELC_01",2067,4306.327025
"R1","S1D1","TRANSMISSION","ELC_01",2068,4351.942595
"R1","S1D1","TRANSMISSION","ELC_01",2069,4397.54623
"R1","S1D1","TRANSMISSION","ELC_01",2070,4443.1618
"R1","S1D1","HYDRO","WATER",2020,1409.265
"R1","S1D1","HYDRO","WATER",2021,1381.0797
"R1","S1D1","HYDRO","WATER",2022,1352.8944
"R1","S1D1","HYDRO","WATER",2023,1324.7091
"R1","S1D1","HYDRO","WATER",2024,1296.5238
"R1","S1D1","HYDRO","WATER",2025,1268.3385
"R1","S1D1","HYDRO","WATER",2026,1240.1532
"R1","S1D1","HYDRO","WATER",2027,1211.9679
"R1","S1D1","HYDRO","WATER",2028,1183.7826
"R1","S1D1","HYDRO","WATER",2029,1155.5973
"R1","S1D1","HYDRO","WATER",2030,1127.412
"R1","S1D1","HYDRO","WATER",2031,1099.2267
"R1","S1D1","HYDRO","WATER",2032,1071.0414
"R1","S1D1","HYDRO","WATER",2033,1042.8561
"R1","S1D1","HYDRO","WATER",2034,1014.6708
"R1","S1D1","HYDRO","WATER",2035,986.4855
"R1","S1D1","HYDRO","WATER",2036,958.3002
"R1","S1D1","HYDRO","WATER",2037,930.1149
"R1","S1D1","HYDRO","WATER",2038,901.9296
"R1","S1D1","HYDRO","WATER",2039,873.7443
"R1","S1D1","HYDRO","WATER",2040,845.559
"R1","S1D1","HYDRO","WATER",2041,817.3737
"R1","S1D1","HYDRO","WATER",2042,789.1884
"R1","S1D1","HYDRO","WATER",2043,761.0031
"R1","S1D1","HYDRO","WATER",2044,732.8178
"R1","S1D1","HYDRO","WATER",2045,704.6325
"R1","S1D1","HYDRO","WATER",2046,676.4472
"R1","S1D1","HYDRO","WATER",2047,648.2619
"R1","S1D1","HYDRO","WATER",2048,620.0766
"R1","S1D1","HYDRO","WATER",2049,591.8913
"R1","S1D1","HYDRO","WATER",2050,563.706
"R1","S1D1","HYDRO","WATER",2051,535.5207
"R1","S1D1","HYDRO","WATER",2052,507.3354
"R1","S1D1","HYDRO","WATER",2053,479.1501
"R1","S1D1","HYDRO","WATER",2054,450.9648
"R1","S1D1","HYDRO","WATER",2055,422.7795
"R1","S1D1","HYDRO","WATER",2056,394.5942
"R1","S1D1","HYDRO","WATER",2057,366.408900000001
"R1","S1D1","HYDRO","WATER",2058,338.223600000001
